Plaza,Local_Consolidado,Fecha,Organico,Inorganico,Carton,Aluminio,Archivo,Plastico_Duro,Pet,Playo,Vidrio,Tetra_Pak,Chatarra
Plaza Américas_Malecón,Sunright Tea,3/9/2024,5.97,1.21,0.62,0.00,0.18,0.15,0.00,0.08,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,3/9/2024,28.30,28.30,0.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,3/9/2024,0.00,2.79,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Parrilla,3/9/2024,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Karukay Sushi,3/9/2024,0.00,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Top Mart,4/9/2024,6.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Toks,4/9/2024,24.40,3.40,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,0.00
Plaza Américas_Malecón,Bubba You (Malecón),4/9/2024,2.42,5.20,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Parrilla,4/9/2024,5.60,16.64,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,4/9/2024,4.20,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Mini Buda,4/9/2024,2.32,16.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,4/9/2024,15.30,30.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Quekas,4/9/2024,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Parrilla,4/9/2024,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Argentina,4/9/2024,4.60,8.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,4/9/2024,27.50,27.50,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,4/9/2024,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sunright Tea,4/9/2024,1.54,1.42,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Palapita Express,4/9/2024,2.25,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,4/9/2024,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Buba You (Américas),4/9/2024,15.00,5.20,0.00,0.00,0.00,2.43,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Johnny Rockets,4/9/2024,1.94,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,4/9/2024,17.22,8.36,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Don Carbón,4/9/2024,14.00,36.80,2.10,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Hooters,4/9/2024,0.00,61.58,0.00,80.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00
Plaza Américas_Malecón,El Asadero,4/9/2024,7.68,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Argentina,4/9/2024,13.81,6.53,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Palapita,4/9/2024,16.80,4.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Bubba You (Malecón),4/9/2024,36.80,53.11,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Italian Steak,4/9/2024,38.30,12.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Toks,4/9/2024,86.43,23.48,1.44,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,4/9/2024,0.00,8.88,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
